DATA_DIR	data/fluocells-resized1/																																																									
train_percentage	0.8																																																									
input_dim	3																																																									
output_dim	2																																																									
batch_size	2																																																									
learning_rate	0.001																																																									
num_epochs	10																																																									
dropout_rate	0.7																																																									
model_description	UNet(																																																									
  (down1): DoubleConv(																																																										
    (double_conv): Sequential(																																																										
"      (0): Conv2d(3, 8, kernel_size=(3, 3), stride=(1, 1), padding=(1, 1))"																																																										
"      (1): BatchNorm2d(8, eps=1e-05, momentum=0.1, affine=True, track_running_stats=True)"																																																										
      (2): ReLU(inplace=True)																																																										
"      (3): Conv2d(8, 8, kernel_size=(3, 3), stride=(1, 1), padding=(1, 1))"																																																										
"      (4): BatchNorm2d(8, eps=1e-05, momentum=0.1, affine=True, track_running_stats=True)"																																																										
      (5): ReLU(inplace=True)																																																										
    )																																																										
  )																																																										
  (down2): DoubleConv(																																																										
    (double_conv): Sequential(																																																										
"      (0): Conv2d(8, 4, kernel_size=(3, 3), stride=(1, 1), padding=(1, 1))"																																																										
"      (1): BatchNorm2d(4, eps=1e-05, momentum=0.1, affine=True, track_running_stats=True)"																																																										
      (2): ReLU(inplace=True)																																																										
"      (3): Conv2d(4, 4, kernel_size=(3, 3), stride=(1, 1), padding=(1, 1))"																																																										
"      (4): BatchNorm2d(4, eps=1e-05, momentum=0.1, affine=True, track_running_stats=True)"																																																										
      (5): ReLU(inplace=True)																																																										
    )																																																										
  )																																																										
"  (up2): ConvTranspose2d(4, 8, kernel_size=(2, 2), stride=(2, 2))"																																																										
"  (up1): ConvTranspose2d(16, 2, kernel_size=(2, 2), stride=(2, 2))"																																																										
)																																																										
optimizer	Adam																																																									
epoch_losses	0.654553753	0.603307989	0.585254151	0.582167434	0.581304318	0.580942965	0.580755554	0.580649377	0.580588171	0.580547815																																																
test_metrics	dice	163	29	59	170	0	0	118	244	23	0	40	86	102	88	126	87	0	76	42	15	105	164	86	36	147	191	151	0	64	22	104	76	48	40	0	0	76	222	191	244	223	219	196	272	132	241	78	60	161	137	47	168	141	193	139	176	198
test_metrics	image_total_pixels	120000	120000	120000	120000	120000	120000	120000	120000	120000	120000	120000	120000	120000	120000	120000	120000	120000	120000	120000	120000	120000	120000	120000	120000	120000	120000	120000	120000	120000	120000	120000	120000	120000	120000	120000	120000	120000	120000	120000	120000	120000	120000	120000	120000	120000	120000	120000	120000	120000	120000	120000	120000	120000	120000	120000	120000	120000
test_metrics	tp	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
test_metrics	tn	163	29	59	170	0	0	118	244	23	0	40	86	102	88	126	87	0	76	42	15	105	164	86	36	147	191	151	0	64	22	104	76	48	40	0	0	76	222	191	244	223	219	196	272	132	241	78	60	161	137	47	168	141	193	139	176	198
test_metrics	fp	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
test_metrics	fn	12	46	3	25	5	117	33	0	61	0	29	66	85	30	12	41	9	28	97	57	43	27	64	22	48	26	24	11	103	41	53	19	0	13	37	21	33	7	24	36	7	17	21	9	11	39	10	10	56	35	6	19	41	33	2	22	50
test_metrics	total_reject	119825	119925	119938	119805	119995	119883	119849	119756	119916	120000	119931	119848	119813	119882	119862	119872	119991	119896	119861	119928	119852	119809	119850	119942	119805	119783	119825	119989	119833	119937	119843	119905	119952	119947	119963	119979	119891	119771	119785	119720	119770	119764	119783	119719	119857	119720	119912	119930	119783	119828	119947	119813	119818	119774	119859	119802	119752
elapsed_time	23:23.7																																																									
end_time	49:16.7																																																									
